Module                  Size  Used by
mc                     90112  5 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
thermal                28672  0
cec                    81920  2 drm_display_helper,i915
ip6t_rpfilter          12288  1
sparse_keymap          12288  1 thinkpad_acpi
battery                28672  1 thinkpad_acpi
int3403_thermal        16384  0
ac                     16384  0
ipt_rpfilter           12288  1
rtc_cmos               28672  1
snd_pcm               196608  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_sof_utils,snd_hda_core,snd_sof_pci_intel_skl,snd_pcm_dmaengine
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
intel_gtt              28672  1 i915
bluetooth            1105920  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
tiny_power_button      12288  0
cfg80211             1425408  3 iwlmvm,iwlwifi,mac80211
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
processor_thermal_wt_hint    12288  1 processor_thermal_device
xt_pkttype             12288  2
i2c_algo_bit           24576  1 i915
snd                   159744  19 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,thinkpad_acpi,snd_soc_core,snd_pcm
video                  81920  2 thinkpad_acpi,i915
processor_thermal_rfim    24576  1 processor_thermal_device
processor_thermal_rapl    16384  1 processor_thermal_device
tpm_tis                16384  0
int3400_thermal        24576  0
tpm_tis_core           36864  1 tpm_tis
crc16                  12288  1 bluetooth
xt_LOG                 16384  2
acpi_thermal_rel       20480  1 int3400_thermal
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
evdev                  28672  13
nf_log_syslog          24576  2
soundcore              16384  2 snd_ctl_led,snd
mei_me                 57344  3
processor_thermal_wt_req    12288  1 processor_thermal_device
rfkill                 40960  8 iwlmvm,bluetooth,thinkpad_acpi,cfg80211
button                 28672  0
processor_thermal_power_floor    12288  1 processor_thermal_device
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_lpss_pci         28672  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
wmi                    32768  4 video,intel_wmi_thunderbolt,wmi_bmof,think_lmi
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
intel_lpss             12288  1 intel_lpss_pci
acpi_pad               24576  0
mei                   208896  7 mei_wdt,mei_hdcp,mei_pxp,mei_me
xt_tcpudp              16384  3
uas                    36864  0
idma64                 20480  0
nft_compat             24576  15
virt_dma               16384  1 idma64
intel_xhci_usb_role_switch    12288  0
intel_pch_thermal      20480  0
roles                  16384  2 typec_ucsi,intel_xhci_usb_role_switch
input_leds             12288  0
led_class              20480  5 snd_hda_codec_generic,videodev,input_leds,iwlmvm,thinkpad_acpi
mac_hid                12288  0
serio_raw              20480  0
nf_tables             401408  211 nft_compat,nft_chain_nat
libcrc32c              12288  3 nf_conntrack,nf_nat,nf_tables
crc32c_generic         12288  0
sch_fq_codel           24576  3
uinput                 20480  0
loop                   45056  0
cpufreq_powersave      16384  0
tun                    69632  2
tap                    32768  0
macvlan                36864  0
bridge                413696  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
kvm                  1388544  0
irqbypass              12288  1 kvm
fuse                  229376  5
efi_pstore             12288  0
configfs               69632  1
nfnetlink              20480  3 nft_compat,nf_tables
efivarfs               32768  1
tpm                   147456  3 tpm_tis,tpm_crb,tpm_tis_core
libaescfb              12288  1 tpm
ecdh_generic           16384  3 bluetooth,tpm
ecc                    49152  1 ecdh_generic
rng_core               20480  1 tpm
dmi_sysfs              28672  0
ip_tables              28672  0
x_tables               57344  10 xt_conntrack,ip6t_rpfilter,nft_compat,xt_LOG,xt_tcpudp,ipt_rpfilter,xt_pkttype,ip_tables,xt_MASQUERADE,xt_mark
autofs4                65536  0
sd_mod                 86016  0
usb_storage            94208  1 uas
scsi_mod              344064  3 sd_mod,usb_storage,uas
scsi_common            16384  4 scsi_mod,sd_mod,usb_storage,uas
atkbd                  40960  0
libps2                 24576  2 atkbd,psmouse
vivaldi_fmap           12288  1 atkbd
nvme                   69632  2
xhci_pci               24576  0
nvme_core             253952  3 nvme
xhci_hcd              401408  1 xhci_pci
crc32c_intel           16384  1
nvme_auth              24576  1 nvme_core
i8042                  57344  0
serio                  28672  8 rmi_core,serio_raw,atkbd,psmouse,i8042
dm_mod                225280  0
dax                    53248  1 dm_mod
zfs                  6688768  11
spl                   155648  1 zfs
